,car_model,hp_kW,Displacement_cc,km,age,Gearing_Type,cons_comb,price
85,Audi A1,66.0,1422.0,26500.0,2.0,Automatic,4.0,18490
86,Audi A1,71.0,999.0,58806.0,3.0,Automatic,4.4,18490
87,Audi A1,85.0,1598.0,39000.0,3.0,Automatic,3.8,18500
88,Audi A1,92.0,1395.0,16700.0,2.0,Automatic,5.1,18490
89,Audi A1,92.0,1395.0,41900.0,3.0,Automatic,5.1,18490
90,Audi A1,92.0,1395.0,15093.0,3.0,Automatic,4.9,18480
91,Audi A1,66.0,1422.0,5211.0,1.0,Automatic,4.0,18480
92,Audi A1,70.0,999.0,12000.0,1.0,Automatic,4.6,18470
93,Audi A1,92.0,1395.0,50066.0,3.0,Automatic,4.9,18444
94,Audi A1,71.0,999.0,51484.0,2.0,Automatic,4.4,18400
95,Audi A1,85.0,1598.0,14770.0,1.0,Automatic,3.8,18400
96,Audi A1,85.0,1598.0,12415.0,1.0,Automatic,4.0,18900
97,Audi A1,85.0,1598.0,26064.0,1.0,Automatic,4.0,18900
98,Audi A1,85.0,1598.0,16500.0,1.0,Automatic,4.0,18900
99,Audi A1,92.0,1395.0,9000.0,3.0,Automatic,4.9,18900
100,Audi A1,85.0,1598.0,12402.0,1.0,Automatic,4.0,18900
101,Audi A1,85.0,1598.0,14702.0,1.0,Automatic,4.0,18900
102,Audi A1,85.0,1598.0,14523.0,1.0,Automatic,4.0,18900
103,Audi A1,85.0,1598.0,9082.0,1.0,Automatic,4.0,18900
104,Audi A1,85.0,1598.0,9580.0,1.0,Automatic,3.5,18900
105,Audi A1,85.0,1598.0,10013.0,1.0,Automatic,3.5,18900
106,Audi A1,85.0,1598.0,10450.0,1.0,Automatic,3.5,18900
107,Audi A1,85.0,1598.0,14878.0,1.0,Automatic,4.0,18900
108,Audi A1,85.0,1598.0,10273.0,1.0,Automatic,3.5,18900
109,Audi A1,71.0,999.0,47500.0,3.0,Automatic,4.4,18900
110,Audi A1,85.0,1598.0,9466.0,1.0,Automatic,3.5,18900
111,Audi A1,85.0,1598.0,18971.0,1.0,Automatic,3.7,18900
112,Audi A1,70.0,999.0,31877.0,1.0,Automatic,4.5,18900
113,Audi A1,85.0,1598.0,9878.0,1.0,Automatic,3.5,18900
114,Audi A1,70.0,999.0,17535.0,1.0,Automatic,4.6,18900
115,Audi A1,92.0,1395.0,76264.0,3.0,Automatic,4.9,18850
116,Audi A1,70.0,999.0,6695.0,1.0,Automatic,4.6,18850
117,Audi A1,92.0,1395.0,21275.0,3.0,Automatic,4.9,18850
118,Audi A1,66.0,1422.0,12261.0,1.0,Automatic,3.9,18850
119,Audi A1,70.0,999.0,3620.0,1.0,Automatic,4.4,18840
120,Audi A1,85.0,1598.0,8330.0,1.0,Automatic,3.5,18800
121,Audi A1,70.0,999.0,20306.0,1.0,Automatic,4.4,18750
122,Audi A1,85.0,999.0,1.0,0.0,Automatic,4.8,18730
123,Audi A1,85.0,1598.0,27000.0,3.0,Automatic,3.7,18700
124,Audi A1,92.0,1395.0,31750.0,3.0,Automatic,4.6,18690
125,Audi A1,70.0,999.0,19800.0,2.0,Automatic,4.4,18600
126,Audi A1,85.0,1598.0,52000.0,3.0,Automatic,4.0,18500
127,Audi A1,70.0,999.0,15500.0,1.0,Automatic,4.4,18500
128,Audi A1,92.0,1395.0,25977.0,3.0,Automatic,5.0,18620
129,Audi A1,70.0,999.0,9000.0,2.0,Automatic,4.4,18500
130,Audi A1,66.0,1422.0,65000.0,2.0,Automatic,3.8,18500
131,Audi A1,85.0,1598.0,14493.0,1.0,Automatic,4.0,18500
132,Audi A1,92.0,1395.0,33500.0,2.0,Automatic,4.9,18500
133,Audi A1,70.0,999.0,4800.0,1.0,Automatic,4.4,18333
